model,task_1Seconds,task_2Seconds,iscontrol,searchornot
GPT4o,1934.478,1310.84,0,1
GPT4o,3026.81,422.249,1,1
GPT4o,1592.195,2070.846,0,1
GPT4o,1583.987,1253.631,1,1
GPT4o,2236.08,3481.695,1,1
GPT4o,1443.028,1599.121,1,1
GPT4o,1096.711,983.283,1,1
GPT4o,2105.07,902.028,0,1
GPT4o,605.258,539.069,0,1
GPT4o,882.926,885.802,0,1
GPT4o,1069.516,1001.259,1,1
GPT4o,3112.248,779.479,0,1
GPT4o,1110.119,1274.571,0,1
GPT4o,1356.512,1464.203,1,1
GPT4o,1166.838,556.229,1,1
GPT4o,5798.144,651.325,0,1
GPT4o,2197.103,1295.629,1,1
GPT4o,2000.932,974.041,1,1
GPT4o,1100.082,714.236,1,1
GPT4o,1821.911,1464.745,0,1
GPT4o,1061.28,669.403,0,1
GPT4o,1987.292,725.027,0,1
GPT4o,1578.946,919.3,1,1
GPT4o,1223.278,1391.466,0,1
GPT4o,1621.179,1610.169,0,1
GPT4o,895.354,1183.536,0,1
GPT4o,1013.235,552.606,0,1
GPT4o,1991.856,1057.366,0,1
GPT4o,1137.247,882.728,0,1
GPT4o,745.851,1059.526,0,1
GPT4o,1032.679,475.426,1,1
GPT4o,923.104,548.985,1,1
GPT4o,1042.998,847.448,1,1
GPT4o,748.102,470.274,1,1
GPT4o,2729.326,619.659,0,1
GPT4o,1711.599,NaN,0,1
GPT4o,2343.999,1490.9,1,1
GPT4o,802.4,2078.905,0,1
GPT4o,448.867,340.185,0,1
GPT4o,1292.385,802.033,1,1
GPT4o,849.437,732.663,1,1
GPT4o,609.499,529.328,0,1
GPT4o,1929.271,1342.83,1,1
GPT4o,774.222,837.818,1,1
GPT4o,795.908,436.899,0,1
GPT4o,2451.426,614.692,1,1
GPT4o,1128.721,834.975,0,1
GPT4o,1474.499,919.948,0,1
GPT4o,2235.443,526.081,1,1
GPT4o,569.489,452.115,1,1
GPT4o,1082.021,660.011,0,1
GPT4o,2373.077,2104.429,0,1
GPT4o,1018.363,525.589,1,1
GPT4o,668.582,859.831,0,1
GPT4o,948.125,965.931,0,1
GPT4o,649.828,450.51,0,1
GPT4o,1311.282,1021.487,1,1
GPT4o,631.589,386.047,0,1
GPT4o,845.845,685.773,0,1
GPT4o,2201.141,1741.939,0,1
GPT4o,2833.97,2447.747,0,1
GPT4o,199.114,151.188,1,1
GPT4o,1187.073,488.243,1,1
GPT4o,966.8,1237.306,0,1
GPT4o,3055.417,902.446,1,1
